time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.level,.name,.msg,.file,.function,.line,.topics
2021/01/19/15:45:32.875524,0,1611081932,847303819,,2,/record_1611081932800979779,Recording to 2021-01-19-15-45-32.bag.,/tmp/binarydeb/ros-melodic-rosbag-1.14.3/src/recorder.cpp,Recorder::startWriting,394,[]
2021/01/19/15:45:32.875551,1,1611081932,848708157,,2,/record_1611081932800979779,Subscribing to /rosout,/tmp/binarydeb/ros-melodic-rosbag-1.14.3/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,210,[]
2021/01/19/15:45:32.875556,2,1611081932,851629176,,2,/record_1611081932800979779,Subscribing to /rosout_agg,/tmp/binarydeb/ros-melodic-rosbag-1.14.3/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,210,[]
2021/01/19/15:45:32.875560,3,1611081932,856762743,,2,/record_1611081932800979779,Subscribing to /ultrasound_4,/tmp/binarydeb/ros-melodic-rosbag-1.14.3/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,210,[]
2021/01/19/15:45:32.875567,4,1611081932,860489091,,2,/record_1611081932800979779,Subscribing to /ultrasound_5,/tmp/binarydeb/ros-melodic-rosbag-1.14.3/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,210,[]
2021/01/19/15:45:32.875572,5,1611081932,863615491,,2,/record_1611081932800979779,Subscribing to /ultrasound_6,/tmp/binarydeb/ros-melodic-rosbag-1.14.3/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,210,[]
2021/01/19/15:45:32.875576,6,1611081932,865922922,,2,/record_1611081932800979779,Subscribing to /ultrasound_1,/tmp/binarydeb/ros-melodic-rosbag-1.14.3/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,210,[]
2021/01/19/15:45:32.875585,7,1611081932,868118181,,2,/record_1611081932800979779,Subscribing to /ultrasound_2,/tmp/binarydeb/ros-melodic-rosbag-1.14.3/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,210,[]
2021/01/19/15:45:32.875591,8,1611081932,870358986,,2,/record_1611081932800979779,Subscribing to /ultrasound_3,/tmp/binarydeb/ros-melodic-rosbag-1.14.3/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,210,[]
2021/01/19/15:45:32.875595,9,1611081932,872654972,,2,/record_1611081932800979779,Subscribing to /diagnostics,/tmp/binarydeb/ros-melodic-rosbag-1.14.3/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,210,[]
2021/01/19/15:45:33.059259,10,1611081900,754992008,,2,/serial_node,Setup publisher on /ultrasound_6 [sensor_msgs/Range],SerialClient.py,SerialClient.setupPublisher,570,"['/rosout', '/ultrasound_4', '/ultrasound_5', '/ultrasound_6', '/ultrasound_1', '/ultrasound_2', '/ultrasound_3', '/diagnostics']"
