time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.radiation_type,.field_of_view,.min_range,.max_range,.range
2021/01/19/15:45:33.162141,1,1611081933,129123052,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:33.465260,2,1611081933,430174076,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:33.764341,3,1611081933,730174076,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:34.063261,4,1611081934,30174076,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:34.362406,5,1611081934,330174076,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:34.665332,6,1611081934,630174076,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:34.964233,7,1611081934,930174076,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:35.263483,8,1611081935,230174076,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:35.562570,9,1611081935,530174076,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:35.865520,10,1611081935,828803096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:36.164711,11,1611081936,128803096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:36.463851,12,1611081936,428803096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:36.762804,13,1611081936,728803096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:37.065932,14,1611081937,28803096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:37.364929,15,1611081937,328803096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:37.664043,16,1611081937,628803096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:37.962975,17,1611081937,928803096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:38.265592,18,1611081938,228803096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:38.564999,19,1611081938,537921096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:38.864183,20,1611081938,837921096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:39.163279,21,1611081939,137921096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:39.466417,22,1611081939,437921096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:39.765558,23,1611081939,737921096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:40.064593,24,1611081940,38921096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:40.363548,25,1611081940,337921096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:40.662654,26,1611081940,637921096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:40.965609,27,1611081940,928214101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:41.264781,28,1611081941,228214101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:41.563832,29,1611081941,528214101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:41.862861,30,1611081941,828214101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:42.161914,31,1611081942,128214101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:42.465048,32,1611081942,428214101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:42.764061,33,1611081942,728214101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:43.063119,34,1611081943,28214101,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:43.361664,35,1611081943,329438070,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:43.665239,36,1611081943,629438070,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:43.964103,37,1611081943,929438070,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:44.263392,38,1611081944,229438070,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:44.562372,39,1611081944,529438070,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:44.865526,40,1611081944,829438070,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:45.164467,41,1611081945,129438070,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:45.463414,42,1611081945,429438070,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:45.762772,43,1611081945,729438070,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:46.065717,44,1611081946,39542892,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:46.364968,45,1611081946,339542892,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:46.663768,46,1611081946,639542892,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:46.963328,47,1611081946,939542892,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:47.266023,48,1611081947,239542892,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:47.565163,49,1611081947,539542892,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:47.864096,50,1611081947,839542892,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:48.163145,51,1611081948,139542892,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:48.465833,52,1611081948,429290105,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:48.765355,53,1611081948,729290105,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:49.064247,54,1611081949,29290105,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:49.363638,55,1611081949,329290105,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:49.666544,56,1611081949,630290105,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:49.965679,57,1611081949,929290105,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:50.264644,58,1611081950,229290105,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:50.563692,59,1611081950,529290105,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:50.862705,60,1611081950,831100107,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:51.161729,61,1611081951,131100107,/ultrasound_4,0,0.259999990463,20.0,600.0,30.0
2021/01/19/15:45:51.464814,62,1611081951,431100107,/ultrasound_4,0,0.259999990463,20.0,600.0,31.0
2021/01/19/15:45:51.763965,63,1611081951,731100107,/ultrasound_4,0,0.259999990463,20.0,600.0,33.0
2021/01/19/15:45:52.062925,64,1611081952,31100107,/ultrasound_4,0,0.259999990463,20.0,600.0,33.0
2021/01/19/15:45:52.361897,65,1611081952,331100107,/ultrasound_4,0,0.259999990463,20.0,600.0,33.0
2021/01/19/15:45:52.665119,66,1611081952,631100107,/ultrasound_4,0,0.259999990463,20.0,600.0,32.0
2021/01/19/15:45:52.964398,67,1611081952,931100107,/ultrasound_4,0,0.259999990463,20.0,600.0,31.0
2021/01/19/15:45:53.263153,68,1611081953,231100107,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:53.561817,69,1611081953,530255924,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
